,Predicted A0,Predicted A1,Predicted A2,Predicted A3,Predicted A4,Predicted A5
True A0,7,38,4,0,0,1
True A1,2,48,0,0,0,0
True A2,2,0,48,0,0,0
True A3,0,1,6,36,2,5
True A4,3,0,16,18,9,4
True A5,0,3,0,15,1,31
