,Predicted A0,Predicted A1,Predicted A2,Predicted A3,Predicted A4,Predicted A5
True A0,23,9,6,0,1,1
True A1,6,30,3,0,0,1
True A2,0,4,24,8,0,4
True A3,1,1,15,22,0,1
True A4,8,2,20,9,1,0
True A5,0,1,20,13,0,6
