Data / Timestep,Mean Absolute Change,Activity Accuracy,Activity Macro F1,Gender Accuracy,Gender Macro F1
Raw,0.0,0.44166666666666665,0.4011156289468784,0.4666666666666667,0.46532999164578115
Timestep 5,0.06739941239356995,0.44583333333333336,0.40746559209202876,0.4666666666666667,0.46484565535502753
Timestep 10,0.1105106920003891,0.44583333333333336,0.41135119356745103,0.4666666666666667,0.46484565535502753
Timestep 20,0.17389075458049774,0.44583333333333336,0.41316779272742216,0.4708333333333333,0.46816492470904364
Timestep 30,0.22734308242797852,0.45416666666666666,0.42125667170334297,0.4708333333333333,0.4640502189164952
Timestep 40,0.27957284450531006,0.4375,0.40136686928291126,0.4583333333333333,0.45085891298225855
